CMD: trivy fs --format cyclonedx --output /home/duongnv48/Desktop/benchmark-sbom-tools/nodejs/sboms/prisma.trivy.cdx.json /home/duongnv48/Desktop/benchmark-sbom-tools/nodejs/repos/prisma
EXIT_CODE: 0

==== STDERR ====
2025-12-01T11:06:52+07:00	INFO	"--format cyclonedx" disables security scanning. Specify "--scanners vuln" explicitly if you want to include vulnerabilities in the "cyclonedx" report.
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/cli/src/__tests__/fixtures/custom-output-pnpm/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/adapter-d1-itx-error/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/browser-bundle/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/browser-enum/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/browser-enum/tests/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/browser-unsupported-errors/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/browser-unsupported-errors/tests/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/client-runtime-utils/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/connection-limit-reached/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/driver-adapters-custom-db-schema/adapter-neon/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/driver-adapters-custom-db-schema/adapter-pg/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/enum-import-in-edge/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/enum-import-unused/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/env-var-security/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/example/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/external-tables/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/generator-config-types/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/invalid-package-version/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/issues/16418-slow-compilation-big-schema/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/issues/19866-ts-composite-declaration/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/issues/27128-generate-watch/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/multi-schema-with-external/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/nextjs-schema-not-found/5_simplerepo-noServerComponents-customOutput-noReExport/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/nextjs-schema-not-found/6_simplerepo-serverComponents-customOutput-noReExport/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/output-location-warning/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/pg-global-type-parsers/node_modules"
